"X0.1FishXXX","X0.2SnakeXX","X0.3MammalX","X1GermanXXX","X2FrenchXXX","X3FrenchXXX","X4DutchXXXX","X5EnglishXX","X6AmericanX","X7FrenchXXX","X8EnglishXX","X9FrenchXXX","X10FrenchXX","X11SpanishX","X12Japanese","X13Japanese","X14Japanese","X15Japanese","X16Japanese","X17Japanese","X18Japanese","X19Japanese","X20Japanese","X21Japanese","X22Japanese","X23Japanese","X24Japanese","X25Japanese","X26Japanese","X27Japanese","X28Japanese","X29Japanese","X30ItalianX","X31ItalianX","X32ItalianX","X33XXXXXXXX","X34GermanXX","X35EnglishX","X36GermanXX","X37DutchXXX","X38SpanishX","X39ItalianX","X40ItalianX","X41EnglishX","X42ItalianX","X43SpanishX","X44ItalianX","X45ItalianX","X46EnglishX","X47ItalianX","X48DutchXXX","X49IndianXX","X50Japanese","X51Japanese","X52Japanese","X53Japanese","X54IranianX","X55IranianX","X56IranianX","X57IranianX","X58TurkishX","X59IranianX","X60IranianX","X61TurkishX","X62TurkishX","X63UkraineX","X64UkraineX","X65RussiaXX","X66UkraineX","X67RussiaXX","X68GreeceXX","X69ItalianX","X70American","X71BritishX","X72BritishX","X73BritishX","X74BritishX","XDragon75XX","XDragon76XX","XDragon77XX"
"0","0","1","1","0","0","0","0","0","0","0","0","0","0","?","?","0","0","0","0","0","0","?","0","?","?","?","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","?","0","?","?","?","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","?","?","0","0","0","1","1","1"
"0","1","0","0","1","0","0","0","0","0","0","0","0","0","?","?","0","0","0","0","0","0","?","0","?","?","?","0","0","?","0","0","0","0","1","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","?","1","?","?","?","1","1","1","0","0","1","0","0","0","0","0","0","?","1","0","?","?","1","1","1","0","0","0"
"0","1","0","0","1","0","0","0","0","0","0","0","0","0","?","?","1","1","0","0","1","1","?","1","?","?","?","1","1","?","1","1","0","0","1","1","0","0","1","1","0","0","0","0","?","0","0","1","0","0","0","0","?","1","?","?","?","1","1","1","0","0","1","0","1","0","0","0","0","?","1","0","?","?","1","1","1","0","1","0"
"0","1","0","0","1","0","?","?","1","1","1","?","?","?","?","?","?","?","0","?","0","?","?","0","?","?","?","?","0","0","0","0","?","0","0","?","1","1","0","0","1","1","1","0","0","0","1","1","?","0","1","1","?","?","?","?","?","?","1","0","1","1","0","1","1","0","?","1","?","0","0","1","?","1","1","0","1","0","0","0"
"0","0","0","0","0","0","?","?","0","0","0","?","?","?","?","?","?","?","0","?","0","?","?","0","?","?","?","?","0","0","0","0","?","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","?","?","?","?","?","?","0","0","0","0","0","0","0","0","?","0","?","0","0","0","?","1","1","0","1","0","0","0"
"0","1","0","1","1","0","?","?","0","1","0","?","?","?","?","?","?","?","0","?","0","?","?","0","?","?","?","?","0","0","0","0","?","0","0","?","0","1","0","0","1","0","0","0","0","0","0","0","?","0","0","0","?","?","?","?","?","?","0","0","0","0","0","1","1","0","?","0","?","0","0","0","?","0","0","0","0","1","1","1"
"0","1","0","1","0","?","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","1","0","1","0","1","1","0","0","1","1","1","0","1","1","1","1","0","1","0","1","0","0","0","0","?","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","1"
"0","0","0","0","0","?","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","?","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","0"
"0","0","0","0","0","?","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","1","0","1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1"
"0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","1","0","1","0","?","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","1","0","0","1","1","0","1","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","?","0","1","0","0","1","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"0","0","0","1","1","0","1","1","0","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","1","1","1"
"0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1"
"0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1"
"0","0","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1"
"0","0","0","1","1","1","0","1","0","0","0","0","0","1","1","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0"
"0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1"
"0","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0"
"0","0","1","0","0","1","1","1","0","1","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0"
"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0"
"0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","1","0","0","1","0","0","1","0","0","0","0","1"
"0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1"
"0","0","0","1","0","1","1","1","1","1","0","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1"
"0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","0","1","0","0","1","0","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","?","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","?","0","0","?","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"0","0","0","0","0","0","1","1","0","?","1","0","0","0","0","0","1","0","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","1","0","1","0","?","0","1","?","1","0","0","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","0","0","0"
"0","0","0","0","0","0","1","0","0","?","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","?","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1","0","?","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","?","0","0","?","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","?","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","?","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","1"
"0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","?","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1"
"0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1","?","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1"
"0","1","0","1","0","1","0","1","1","0","1","0","1","0","0","0","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","?","1","0","0","0","0","1","1","1","1","1","1","0","0","1","0","0","0","0","1","0","1","1","?","0","0","0","0","1","0","0","1","1","1"
"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","?","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0"
"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","?","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","1","0"
"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","?","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1","0","1","0","0","1","0","1","0","1","1","?","?","?","0","0","?","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","1","1","?","0","0","1","1","1","0","0","0","0","0","0","1","1","?","0","0","0","0","0","0","1","0","?","1","0","0","1","1","0","0","0","0","0"
"0","0","1","1","0","1","0","?","0","0","0","0","0","0","0","?","?","?","1","0","?","?","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","?","1","0","0","0","0","0","0","0","0","1","0","0","0","?","0","1","0","0","1","1","1","0","?","0","0","0","0","0","0","0","1","1","1"
"0","0","1","0","0","0","0","?","0","0","0","0","0","0","0","?","?","?","1","0","?","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","1","0","0","0","1","0","0","?","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1","0","1","?","0","1","1","1","1","1","1","?","?","?","0","1","?","?","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","0","0","1","1","1","?","0","1","1","1","0","1","1","1","1","0","1","1","1","?","1","0","1","1","0","0","0","1","?","1","1","1","1","1","1","1","0","0","0"
"0","0","0","0","0","0","0","?","0","1","0","0","0","0","1","?","?","?","0","1","?","?","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","?","0","0","0","0","0","1","0","1","0","0","0","0","0","?","0","0","0","0","0","0","0","0","?","1","0","0","1","0","0","0","0","1","0"
"0","0","0","1","0","1","0","1","0","0","1","1","1","1","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0"
"0","1","1","1","1","1","?","1","?","1","0","1","1","1","1","?","1","?","?","1","?","?","?","?","0","0","0","0","?","1","0","1","1","1","1","?","1","1","?","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","1","1","?","1","1","1","1","1","1","?","1","1","0","1","1","1","1","1","1","0","0","0","0","1","1","1"
"0","0","0","0","0","0","?","0","?","0","0","0","0","0","0","?","0","?","?","0","?","?","?","?","0","0","0","0","?","0","0","0","0","0","0","?","0","0","?","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"0","0","0","?","0","0","?","0","0","0","0","0","0","0","?","?","0","0","?","?","0","0","?","?","?","0","?","?","?","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","?","?","0","0","0","0","0","0","0","0","?","?","?","?","0","0","1"
"0","0","0","?","0","0","?","0","1","0","0","0","0","0","?","?","1","0","?","?","0","0","?","?","?","0","?","?","?","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","0","0","0","0","0","0","?","?","0","0","0","0","0","0","0","0","?","?","?","?","0","0","1"
"0","0","0","?","1","1","?","1","1","1","1","1","1","1","?","?","1","1","?","?","1","1","?","?","?","1","?","?","?","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","?","1","1","0","1","1","1","1","1","1","1","1","?","?","1","1","1","1","0","1","1","1","?","?","?","?","0","1","0"
"0","0","0","?","1","1","?","1","1","1","1","1","1","1","?","?","1","1","?","?","1","1","?","?","?","1","?","?","?","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","?","1","1","0","1","1","1","1","1","1","1","1","?","?","1","1","1","1","1","1","1","1","?","?","?","?","0","0","1"
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","?","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","?","1","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","1","1","1","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","0","1","0","0","1","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","1","1","0","1","1","1","1","1"
"0","0","0","1","1","1","1","0","0","1","1","0","1","1","0","1","0","0","1","1","1","1","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","1","1","1","1"
"0","0","0","1","0","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","1","1","1","0","1","1","0","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","0","0","0","1","1","0","1","0","1","1","0","1","1","1","1"
